supermarket,size,vacuum,brand
REWE,V05,SHB/SCB 5317,BORK
REWE,V05,SHB/SCB 5318,BORK
REWE,V05,SHR 2516,BORK
REWE,V05,SMB 6514,BORK
REWE,V05,SMB 7516,BORK
REWE,V02,BBS 1000 bis 1199 Casa,BOSCH
REWE,V02,BBS 2000 bis 2299 Alpha,BOSCH
REWE,V02,BBS 2400 bis 2999 Serie,BOSCH
REWE,V02,BBS 5000 bis 5999 Optima,BOSCH
REWE,V02,BBS 6000 bis 6309 Activa,BOSCH
REWE,V02,BBS 6310 bis 6399 Serie,BOSCH
REWE,V02,BBS 6400 bis BBS 6999,BOSCH
REWE,V02,BBS 7000 bis 7999 Compacta,BOSCH
REWE,V02,BBS 8000 bis 8999 Perfecta,BOSCH
REWE,V02,BBZ 41 FG,BOSCH
REWE,V02,BBZ 51 AFG,BOSCH
REWE,V02,BBZ 52 AFBC,BOSCH
REWE,V02,BBZ 52 AFG,BOSCH
REWE,V02,BBZ 6 AF 1,BOSCH
REWE,V02,BBZ 8 AF,BOSCH
REWE,V02,BGB 2 Serie,BOSCH
REWE,V02,BGL 2 Serie,BOSCH
REWE,V02,BGL 3 Serie,BOSCH
REWE,V02,BGL 35 Mov(e) Serie,BOSCH
REWE,V02,BGL 35 Serie,BOSCH
REWE,V02,BGL 4 Serie,BOSCH
REWE,V02,BSA 100 KA sphera,BOSCH
REWE,V02,BSA 2... Sphera,BOSCH
REWE,V02,BSA 3000 bis 3999,BOSCH
REWE,V02,BSB 2080,BOSCH
REWE,V02,BSC 1… Serie Casa,BOSCH
REWE,V02,BSD Serie sphera,BOSCH
REWE,V02,BSF 1... Ultra,BOSCH
REWE,V02,BSG 4... Terrossa,BOSCH
REWE,V02,BSG 6… Logo,BOSCH
REWE,V02,BSG 7…,BOSCH
REWE,V02,BSGL 2Move Serie,BOSCH
REWE,V02,BSGL 3… Serie,BOSCH
REWE,V02,BSGL 4… Serie,BOSCH
REWE,V02,"Typ D, E, F",BOSCH
REWE,V02,Typ G,BOSCH
REWE,V02,Typ H,BOSCH
REWE,V05,B 4212,BRAVO
REWE,V05,TVC 2400,BUDGET
REWE,V05,BS 1204,CLATRONIC
REWE,V05,BS 1204 bis 1205,CLATRONIC
REWE,V05,BS 1205,CLATRONIC
REWE,V05,BS 1207,CLATRONIC
REWE,V05,BS 1208,CLATRONIC
REWE,V05,BS 1210,CLATRONIC
REWE,V05,BS 1211,CLATRONIC
REWE,V05,BS 1212,CLATRONIC
REWE,V05,BS 1214,CLATRONIC
REWE,V05,BS 1215,CLATRONIC
REWE,V05,BS 1216,CLATRONIC
REWE,V05,BS 1217,CLATRONIC
REWE,V05,BS 1219,CLATRONIC
REWE,V05,BS 1220,CLATRONIC
REWE,V05,BS 1221,CLATRONIC
REWE,V05,BS 1223,CLATRONIC
REWE,V05,BS 1225,CLATRONIC
